read_name	chromosome	breakpoint_left	breakpoint_right
m54284U_210113_224850/24971275/0_29007	CM010569.1	5217994	5218062
m54284U_210113_224850/127534838/37546_49316	CM010569.1	5288733	5289289
m54284U_210113_224850/21957338/0_30590	CM010569.1	5288733	5289289
m54284U_210113_224850/155257571/0_60508	CM010569.1	5410963	5411438
m54284U_210113_224850/142346045/0_10893	CM010569.1	5410963	5411438
m54284U_200808_195421/67503750/0_14020	CM010569.1	5559452	5560674
m54284U_200909_233417/87623551/1142_42237	CM010569.1	5561147	5561226
m54284U_210113_224850/67372949/0_13794	CM010569.1	5607627	5608036
m54284U_200909_233417/139855026/0_37412	CM010569.1	5743884	5745708
m54284U_200808_195421/67699874/6781_31719	CM010569.1	5837292	5840030
m54284U_200808_195421/50660320/5910_30792	CM010569.1	5980638	5981483
m54284U_210113_224850/157419751/0_26772	CM010569.1	6118289	6118442
m54284U_200909_233417/137627015/0_91029	CM010569.1	6123748	6132074
m54284U_210113_224850/34080736/0_46801	CM010569.1	6133063	6133067
m54284U_210113_224850/79888788/0_39079	CM010569.1	6227016	6227754
m54284U_200808_195421/147326701/0_47715	CM010569.1	6235038	6235667
m54284U_200909_233417/83689681/0_75231	CM010569.1	6331466	6333433
m54284U_210113_224850/27198090/0_58830	CM010569.1	6340207	6340661
m54284U_200909_233417/97976868/29443_59206	CM010569.1	6353258	6354537
m54284U_200909_233417/97976868/59250_88306	CM010569.1	6353258	6354537
m54284U_200808_195421/61606102/0_53815	CM010569.1	6474031	6474662
m54284U_210113_224850/58721991/0_28096	CM010569.1	6499084	6499205
m54284U_200808_195421/37356076/38640_110043	CM010569.1	6762124	6762643
m54284U_210113_224850/144901241/4313_43528	CM010569.1	6990865	6996219
m54284U_210113_224850/135922262/4609_68866	CM010569.1	7432017	7433959
m54284U_200808_195421/115541610/10646_53844	CM010569.1	7483731	7483747
m54284U_200909_233417/99746396/0_62785	CM010569.1	7511253	7511634
m54284U_200808_195421/176687278/0_29982	CM010569.1	7530664	7533519
m54284U_200808_195421/147785001/0_23549	CM010569.1	7540463	7541142
m54284U_210113_224850/90243282/48983_86466	CM010569.1	8055586	8055599
m54284U_210113_224850/90243282/86513_124233	CM010569.1	8055586	8055606
m54284U_200909_233417/72024086/39741_59192	CM010569.1	8130257	8130492
m54284U_200909_233417/43450660/0_32469	CM010569.1	8130257	8130393
m54284U_200909_233417/139526931/0_51929	CM010569.1	8202044	8205265
m54284U_200909_233417/145754474/0_60150	CM010569.1	8210679	8211606
m54284U_200909_233417/118490642/791_27014	CM010569.1	8216081	8216486
m54284U_210113_224850/33882281/0_74080	CM010569.1	8267042	8267097
m54284U_200909_233417/150538900/0_79225	CM010569.1	8267097	8270426
m54284U_210113_224850/75434245/0_24520	CM010569.1	8282649	8282826
m54284U_200808_195421/113903889/0_37619	CM010569.1	8341605	8346825
m54284U_200909_233417/61474245/2335_17344	CM010569.1	8341605	8346825
m54284U_200808_195421/71239474/34271_53518	CM010569.1	8353033	8353093
m54284U_200909_233417/22806723/0_23144	CM010569.1	8371461	8372370
m54284U_210113_224850/111545016/0_31049	CM010569.1	8373476	8373928
m54284U_210113_224850/99486383/0_16784	CM010569.1	8472353	8473140
m54284U_200909_233417/32245853/0_31653	CM010569.1	8484407	8484990
m54284U_210113_224850/87754426/0_34359	CM010569.1	8498389	8500882
m54284U_200808_195421/77073054/16116_38965	CM010569.1	8581086	8581339
m54284U_200909_233417/58589860/50432_84687	CM010569.1	8588712	8589024
m54284U_210113_224850/60951056/0_35000	CM010569.1	8592857	8593390
m54284U_210113_224850/96273281/13786_69314	CM010569.1	8594229	8595373
m54284U_200808_195421/100860417/12447_55978	CM010569.1	8654336	8654556
m54284U_200909_233417/34802020/12311_70515	CM010569.1	8663153	8665128
m54284U_210113_224850/62980659/0_25182	CM010569.1	8710077	8710970
m54284U_200909_233417/147131051/0_49929	CM010569.1	8717806	8718682
m54284U_210113_224850/71501825/0_53436	CM010569.1	8720960	8722022
m54284U_210113_224850/16188495/19365_52070	CM010569.1	8794093	8796281
m54284U_200808_195421/76023678/0_21392	CM010569.1	8805333	8806481
m54284U_200808_195421/66388886/0_13123	CM010569.1	8866600	8867330
m54284U_210113_224850/108921468/4859_34363	CM010569.1	8869273	8874000
m54284U_200909_233417/76480709/17865_101613	CM010569.1	8931513	8933196
m54284U_200909_233417/77072029/32351_51510	CM010569.1	8941095	8941561
m54284U_210113_224850/106694479/15194_53856	CM010569.1	8945102	8945219
m54284U_200808_195421/18744205/11186_37121	CM010569.1	9111724	9112692
m54284U_200808_195421/146672118/0_17974	CM010569.1	9125146	9125240
m54284U_210113_224850/141034134/0_40410	CM010569.1	9125257	9126810
m54284U_210113_224850/96405818/15077_94126	CM010569.1	9184356	9200361
m54284U_210113_224850/176162481/0_42708	CM010569.1	9271730	9271879
m54284U_200808_195421/9439364/0_40659	CM010569.1	9314247	9315447
m54284U_200909_233417/108003374/6971_45195	CM010569.1	9494140	9494491
m54284U_200909_233417/58788022/0_35680	CM010569.1	9605559	9605570
m54284U_200808_195421/22217235/3517_56452	CM010569.1	9626835	9628447
m54284U_200909_233417/36702181/0_25308	CM010569.1	9942163	9943497
m54284U_210113_224850/68878648/0_36601	CM010569.1	10079228	10083967
m54284U_210113_224850/107873109/13979_38003	CM010569.1	10309125	10309891
m54284U_200909_233417/46335734/0_44917	CM010569.1	10519459	10523660
m54284U_210113_224850/176555398/0_61318	CM010569.1	10581796	10583104
m54284U_210113_224850/46924390/48133_63395	CM010569.1	10789288	10790125
m54284U_200808_195421/147458183/0_41792	CM010569.1	10804095	10807245
m54284U_200909_233417/151389993/0_30089	CM010569.1	10913413	10913678
m54284U_200909_233417/165544053/0_41909	CM010569.1	11110895	11110982
m54284U_200909_233417/57082308/15533_79034	CM010569.1	11126611	11127296
m54284U_210113_224850/145885593/10831_34936	CM010569.1	11153728	11154214
m54284U_210113_224850/132449231/0_32248	CM010569.1	11154625	11155313
m54284U_210113_224850/132449231/32291_70559	CM010569.1	11155313	11156654
m54284U_210113_224850/127600394/11877_39401	CM010569.1	11362141	11364369
m54284U_200909_233417/36898944/0_50104	CM010569.1	11659448	11662065
m54284U_210113_224850/154600701/0_28741	CM010569.1	11824415	11826561
m54284U_200909_233417/45549165/25754_48450	CM010569.1	11859368	11859812
m54284U_200909_233417/96930487/35470_81560	CM010569.1	11865047	11865337
m54284U_200909_233417/73992628/1941_27515	CM010569.1	12115983	12116049
m54284U_200808_195421/129042580/0_62337	CM010569.1	12206732	12207015
m54284U_200808_195421/161351124/26891_56975	CM010569.1	12378684	12386652
m54284U_200909_233417/80938124/53683_108300	CM010569.1	12442667	12443451
m54284U_200909_233417/80938124/0_53636	CM010569.1	12443451	12444178
m54284U_210113_224850/53872107/0_61628	CM010569.1	12524605	12525882
m54284U_210113_224850/119539443/49610_74512	CM010569.1	12675035	12680301
m54284U_210113_224850/119539443/13967_49561	CM010569.1	12680301	12682932
m54284U_200909_233417/48037920/0_59874	CM010569.1	12764432	12767556
m54284U_200808_195421/177866375/0_33804	CM010569.1	12786862	12786973
m54284U_200808_195421/79497400/0_33595	CM010569.1	12984248	12986059
m54284U_210113_224850/27789882/0_41824	CM010569.1	12998320	13003971
m54284U_200808_195421/137561417/10007_60193	CM010569.1	13086726	13089823
m54284U_210113_224850/19006948/0_22476	CM010569.1	13144043	13144387
m54284U_200909_233417/83362504/0_38967	CM010569.1	13282174	13283371
m54284U_200808_195421/20055980/0_54694	CM010569.1	13391965	13392480
m54284U_210113_224850/124256496/11718_67090	CM010569.1	13409100	13410092
m54284U_200909_233417/77333910/0_25284	CM010569.1	13482790	13483042
m54284U_200909_233417/53018710/0_26385	CM010569.1	13569723	13570250
m54284U_200909_233417/130745162/0_34521	CM010569.1	13667849	13668611
m54284U_200909_233417/55968685/0_42370	CM010569.1	13929934	13930958
m54284U_200909_233417/5768168/0_44238	CM010569.1	13929934	13930958
m54284U_200909_233417/15271786/0_20805	CM010569.1	13993361	13994151
m54284U_210113_224850/133432814/18743_57771	CM010569.1	14102241	14103407
m54284U_200808_195421/139003655/0_32683	CM010569.1	14110523	14110742
m54284U_200808_195421/139003655/32730_81257	CM010569.1	14110523	14110742
m54284U_200909_233417/16910703/0_50664	CM010569.1	14153277	14154650
m54284U_210113_224850/63245036/0_29456	CM010569.1	14414986	14419043
m54284U_200808_195421/155648338/0_52869	CM010569.1	14459968	14461822
m54284U_200808_195421/146014655/2382_39181	CM010569.1	14499445	14499991
m54284U_210113_224850/155322039/0_20700	CM010569.1	14604785	14605316
m54284U_210113_224850/155322039/20747_40806	CM010569.1	14604785	14605316
m54284U_200808_195421/80740868/0_55802	CM010569.1	14674468	14675306
m54284U_200808_195421/163643552/21353_45402	CM010569.1	14899457	14905711
m54284U_200808_195421/163643552/69189_93551	CM010569.1	14899457	14905711
m54284U_200808_195421/163841786/0_29182	CM010569.1	15032227	15032295
m54284U_200808_195421/175112957/0_31769	CM010569.1	15038386	15038503
m54284U_200808_195421/125371998/0_39393	CM010569.1	15131119	15131204
m54284U_210113_224850/95488539/0_26733	CM010569.1	15137026	15139480
m54284U_200808_195421/44564563/3477_19710	CM010569.1	15351644	15352427
m54284U_200909_233417/102040192/0_27954	CM010569.1	15380594	15381310
m54284U_210113_224850/90177805/0_51554	CM010569.1	15496077	15496483
m54284U_210113_224850/104988848/0_67353	CM010569.1	15575699	15579770
m54284U_210113_224850/104988848/67400_135293	CM010569.1	15579000	15579770
m54284U_200909_233417/144573994/0_73241	CM010569.1	15609067	15610455
m54284U_210113_224850/39782865/0_38273	CM010569.1	15621039	15621519
m54284U_210113_224850/17958234/0_31770	CM010569.1	15643434	15644856
m54284U_200909_233417/26149445/0_16136	CM010569.1	15761535	15764228
m54284U_200808_195421/29360688/14977_55274	CM010569.1	15899475	15899542
m54284U_200808_195421/20251337/48470_77134	CM010569.1	15903197	15903287
m54284U_210113_224850/86182020/0_54426	CM010569.1	15928969	15930009
m54284U_200808_195421/14811601/0_23053	CM010569.1	15939598	15941381
m54284U_210113_224850/97518905/0_36225	CM010569.1	15987697	15987818
m54284U_210113_224850/59311755/0_31134	CM010569.1	15989103	15989744
m54284U_210113_224850/59311755/31181_60329	CM010569.1	15991419	15991482
m54284U_200808_195421/114295642/0_34565	CM010569.1	15995358	15997433
m54284U_200808_195421/150077848/0_39725	CM010569.1	16003909	16004126
m54284U_200909_233417/175572472/3466_30760	CM010569.1	16013696	16014034
m54284U_200808_195421/95617346/0_61422	CM010569.1	16032041	16040075
m54284U_210113_224850/138020745/0_29373	CM010569.1	16056706	16056818
m54284U_200909_233417/126682874/33377_71379	CM010569.1	16079253	16079288
m54284U_200909_233417/126682874/0_33343	CM010569.1	16079288	16079600
m54284U_200808_195421/14222989/842_35620	CM010569.1	16105411	16108832
m54284U_200808_195421/101649226/0_35335	CM010569.1	16156942	16157390
m54284U_210113_224850/137953323/0_63867	CM010569.1	16256277	16256306
m54284U_200909_233417/26412339/0_59534	CM010569.1	16418607	16418762
m54284U_210113_224850/19793398/0_8904	CM010569.1	16441686	16441931
m54284U_200909_233417/79432177/0_36642	CM010569.1	16447495	16447525
m54284U_200808_195421/150865201/0_29128	CM010569.1	16475759	16477579
m54284U_200909_233417/133760520/0_24804	CM010569.1	16519534	16519745
m54284U_210113_224850/28902268/0_12017	CM010569.1	16596615	16597690
m54284U_200909_233417/179110284/20829_93263	CM010569.1	16596622	16597690
m54284U_200808_195421/59638165/0_29796	CM010569.1	16714973	16715392
m54284U_200808_195421/143853550/0_39219	CM010569.1	16787491	16787772
m54284U_200808_195421/37815344/22150_78050	CM010569.1	17129025	17129695
m54284U_200909_233417/76351176/1610_66950	CM010569.1	17198181	17200172
m54284U_200909_233417/83233088/0_43347	CM010569.1	17221286	17222458
m54284U_210113_224850/94964046/30812_79674	CM010569.1	17484991	17485947
m54284U_210113_224850/94964046/79718_121254	CM010569.1	17487719	17488255
m54284U_200909_233417/180291136/0_20955	CM010569.1	17750760	17753513
m54284U_200808_195421/127271952/0_33858	CM010569.1	17898693	17898749
m54284U_200909_233417/70125053/78693_97582	CM010569.1	17909131	17912497
m54284U_200808_195421/169018169/0_45747	CM010569.1	18203634	18206697
m54284U_210113_224850/2622329/0_61973	CM010569.1	18219853	18220779
m54284U_200808_195421/75170704/12762_33872	CM010569.1	18250925	18251572
m54284U_210113_224850/115934695/0_47259	CM010569.1	18318043	18318303
m54284U_200808_195421/16449928/808_30243	CM010569.1	18350716	18350812
m54284U_200909_233417/160563382/0_37251	CM010569.1	18522235	18524246
m54284U_200909_233417/61407357/39807_53521	CM010569.1	18677809	18678449
m54284U_210113_224850/46859835/1839_26784	CM010570.1	604662	604701
m54284U_200808_195421/107480464/0_44579	CM010570.1	1026438	1026495
m54284U_200909_233417/134154822/0_12842	CM010570.1	1077698	1078294
m54284U_200909_233417/16451735/42995_85680	CM010570.1	1078298	1078579
m54284U_200909_233417/81464107/11994_47848	CM010570.1	1290785	1291153
m54284U_210113_224850/46728281/0_20451	CM010570.1	1290959	1291153
m54284U_210113_224850/76548210/11544_45609	CM010570.1	1334404	1336390
m54284U_210113_224850/93062919/0_29488	CM010570.1	1339334	1340800
m54284U_210113_224850/142542720/2375_24294	CM010570.1	1439245	1439247
m54284U_200909_233417/171903017/0_64724	CM010570.1	1463314	1463454
m54284U_200909_233417/154207959/0_45416	CM010570.1	1478095	1480220
m54284U_200909_233417/2949785/0_25311	CM010570.1	1560548	1560567
m54284U_200808_195421/92012617/0_43060	CM010570.1	1659478	1663232
m54284U_200909_233417/140379727/0_90575	CM010570.1	1660128	1660203
m54284U_210113_224850/89589639/0_17327	CM010570.1	1804727	1805091
m54284U_200808_195421/42533199/0_26991	CM010570.1	1810825	1811796
m54284U_200909_233417/9111151/0_15976	CM010570.1	1831311	1831343
m54284U_210113_224850/142803783/3406_28567	CM010570.1	1872780	1873402
m54284U_200909_233417/57673934/0_44525	CM010570.1	2013340	2013679
m54284U_210113_224850/161743901/30949_67714	CM010570.1	2115806	2115877
m54284U_210113_224850/69992881/20417_57664	CM010570.1	2281181	2281961
m54284U_210113_224850/164823488/0_50415	CM010570.1	2281181	2281961
m54284U_200808_195421/157091849/0_33231	CM010570.1	2305040	2310804
m54284U_210113_224850/128714559/0_39567	CM010570.1	2850031	2850224
m54284U_210113_224850/9240634/0_16495	CM010570.1	2877927	2878347
m54284U_210113_224850/55838029/0_12331	CM010570.1	2951513	2951809
m54284U_200909_233417/75564377/0_17291	CM010570.1	2953795	2954031
m54284U_200909_233417/111151453/55593_105123	CM010570.1	3055656	3055987
m54284U_200909_233417/111151453/2247_55546	CM010570.1	3057617	3057645
m54284U_210113_224850/129698010/0_60715	CM010570.1	3086441	3086463
m54284U_200808_195421/20185180/36845_72123	CM010570.1	3102633	3102758
m54284U_200808_195421/20185180/0_36800	CM010570.1	3102637	3102758
m54284U_200808_195421/20185180/107756_115958	CM010570.1	3102637	3102779
m54284U_200808_195421/20185180/72169_107706	CM010570.1	3102637	3102758
m54284U_210113_224850/171181614/8410_23424	CM010570.1	3269408	3269771
m54284U_200808_195421/165022092/11353_18636	CM010570.1	3416133	3416639
m54284U_210113_224850/124521248/13722_68637	CM010570.1	3546388	3546959
m54284U_200808_195421/171377485/0_46120	CM010570.1	3600923	3601184
m54284U_200808_195421/105972338/0_63477	CM010570.1	3666272	3666316
m54284U_200808_195421/138347048/0_19460	CM010570.1	3765376	3765781
m54284U_200909_233417/53807343/0_64563	CM010570.1	3780645	3780774
m54284U_200808_195421/88539553/2050_45362	CM010570.1	3801525	3801528
m54284U_200808_195421/22284801/0_71859	CM010570.1	3844187	3844420
m54284U_210113_224850/21693293/0_38650	CM010570.1	3876698	3878264
m54284U_210113_224850/91553806/0_35703	CM010570.1	3956502	3957119
m54284U_200909_233417/18350846/0_38298	CM010570.1	3999115	3999589
m54284U_200909_233417/92210606/0_47360	CM010570.1	4020015	4020177
m54284U_200909_233417/45024319/1541_49767	CM010570.1	4026061	4026430
m54284U_200909_233417/45024319/49818_97869	CM010570.1	4026061	4026699
m54284U_210113_224850/110627491/0_21346	CM010570.1	4045216	4045342
m54284U_210113_224850/166658639/0_23467	CM010570.1	4128943	4129388
m54284U_200909_233417/112854154/0_43438	CM010570.1	4172840	4173016
m54284U_200808_195421/57541879/5776_43070	CM010570.1	4210381	4210464
m54284U_200909_233417/49743416/24445_125168	CM010570.1	4227303	4227865
m54284U_210113_224850/159253070/0_46495	CM010570.1	4303108	4303193
m54284U_200909_233417/152896016/0_26275	CM010570.1	4325050	4325101
m54284U_200808_195421/49547588/0_49854	CM010570.1	4743259	4743953
m54284U_200808_195421/176359003/1803_21236	CM010570.1	4825206	4825943
m54284U_210113_224850/1313447/47063_92605	CM010570.1	4853319	4853555
m54284U_210113_224850/1313447/0_47018	CM010570.1	4853555	4853945
m54284U_200909_233417/149028932/0_36904	CM010570.1	4950630	4951059
m54284U_200808_195421/142410106/0_27052	CM010570.1	4955196	4955388
m54284U_210113_224850/15074928/2785_62173	CM010570.1	5001461	5001539
m54284U_200909_233417/90441303/11875_70156	CM010570.1	5017233	5018073
m54284U_200909_233417/146276695/0_37246	CM010570.1	5068991	5069186
m54284U_200808_195421/112001290/0_31276	CM010570.1	5070476	5070948
m54284U_210113_224850/70648823/6388_26366	CM010570.1	5084454	5084641
m54284U_200808_195421/161024456/35094_53865	CM010570.1	5086895	5087135
m54284U_200808_195421/127076074/0_26126	CM010570.1	5086895	5087135
m54284U_200808_195421/161024456/0_35048	CM010570.1	5086895	5087427
m54284U_200909_233417/17172106/0_20695	CM010570.1	5168676	5168773
m54284U_200808_195421/122292456/0_17884	CM010570.1	5174360	5174389
m54284U_200909_233417/66716323/1377_77920	CM010570.1	5222959	5223349
m54284U_210113_224850/167381515/0_56510	CM010570.1	5229699	5229893
m54284U_200808_195421/65538323/0_35099	CM010570.1	5259024	5259064
m54284U_200808_195421/40568952/21107_56028	CM010570.1	5274875	5275492
m54284U_210113_224850/37422603/0_73607	CM010570.1	5338354	5338804
m54284U_200909_233417/98501097/0_29458	CM010570.1	5378052	5379776
m54284U_200808_195421/99615357/0_14458	CM010570.1	5380547	5381126
m54284U_200909_233417/15991311/13664_64224	CM010570.1	5394568	5395718
m54284U_200909_233417/104794133/0_52116	CM010570.1	5405559	5405741
m54284U_210113_224850/14746899/36950_105594	CM010570.1	5411387	5412024
m54284U_200909_233417/97192697/906_19567	CM010570.1	5419490	5419556
m54284U_200909_233417/66194257/0_16375	CM010570.1	5557689	5557752
m54284U_200909_233417/143196393/0_16011	CM010570.1	5745529	5745602
m54284U_200909_233417/21300531/0_81955	CM010570.1	5771997	5772029
m54284U_200909_233417/160432440/0_22746	CM010570.1	5817826	5817933
m54284U_200808_195421/27984442/2899_63052	CM010570.1	6021374	6021557
m54284U_200808_195421/113246703/7537_62640	CM010570.1	6021612	6021613
m54284U_200909_233417/103549419/0_52071	CM010570.1	6029890	6032268
m54284U_210113_224850/31722313/0_52166	CM010570.1	6060535	6061410
m54284U_200808_195421/22415214/0_43876	CM010570.1	6164707	6165181
m54284U_200808_195421/85918165/0_23770	CM010570.1	6189443	6189712
m54284U_200909_233417/24119580/0_21343	CM010570.1	6214426	6215158
m54284U_200909_233417/145296084/0_28752	CM010570.1	6385681	6386502
m54284U_200909_233417/36241800/5069_22111	CM010570.1	6501189	6501429
m54284U_200808_195421/73008108/0_51090	CM010570.1	6567262	6568724
m54284U_200909_233417/10224047/0_58255	CM010570.1	6569702	6570666
m54284U_200808_195421/126617888/0_57466	CM010570.1	6657612	6658803
m54284U_200808_195421/154206954/0_31538	CM010570.1	6663987	6664233
m54284U_210113_224850/97059569/11657_46138	CM010570.1	6733369	6733597
m54284U_200909_233417/77923509/0_30134	CM010570.1	6856842	6860914
m54284U_210113_224850/53805387/0_25646	CM010570.1	6919811	6920109
m54284U_200808_195421/64424730/0_23502	CM010570.1	6939902	6940812
m54284U_200909_233417/38142444/2962_111848	CM010570.1	7036253	7038953
m54284U_210113_224850/37619837/15518_48884	CM010570.1	7106262	7107362
m54284U_210113_224850/111609918/0_28304	CM010570.1	7209911	7210007
m54284U_210113_224850/107415787/0_28888	CM010570.1	7227930	7229550
m54284U_200808_195421/96077085/0_57252	CM010570.1	7232417	7233050
m54284U_200909_233417/115017388/12088_40986	CM010570.1	7232417	7233051
m54284U_210113_224850/55379868/0_20773	CM010570.1	7232417	7233050
m54284U_210113_224850/160235548/2163_54067	CM010570.1	7262415	7262539
m54284U_200909_233417/126615890/0_16303	CM010570.1	7346279	7347619
m54284U_200808_195421/137037124/0_20998	CM010570.1	7371477	7371560
m54284U_200909_233417/13634025/0_23433	CM010570.1	7393515	7393686
m54284U_200909_233417/52955044/0_32872	CM010570.1	7432387	7432947
m54284U_210113_224850/164234162/0_9843	CM010570.1	7437691	7438648
m54284U_210113_224850/21629257/0_32480	CM010570.1	7586030	7586227
m54284U_200808_195421/132187955/36457_72196	CM010570.1	7589899	7601260
m54284U_210113_224850/164496938/0_68632	CM010570.1	7690149	7691694
m54284U_200808_195421/140444933/16408_27894	CM010570.1	7879573	7879710
m54284U_200909_233417/81854511/2310_68244	CM010570.1	7891055	7891682
m54284U_200808_195421/151455808/0_30810	CM010570.1	8083262	8083366
m54284U_210113_224850/150144630/58551_79450	CM010570.1	8091560	8091603
m54284U_200909_233417/33489879/0_73081	CM010570.1	8102255	8104972
m54284U_200808_195421/24576112/0_24704	CM010570.1	8122396	8122409
m54284U_200808_195421/87427558/0_21191	CM010570.1	8136263	8138120
m54284U_210113_224850/127470415/0_69875	CM010570.1	8139401	8139705
m54284U_200909_233417/84280344/0_12254	CM010570.1	8222997	8223198
m54284U_200909_233417/27330246/0_57245	CM010570.1	8222997	8223198
m54284U_200808_195421/53347613/31235_60552	CM010570.1	8291052	8291197
m54284U_210113_224850/90178234/13499_86446	CM010570.1	8398914	8399122
m54284U_200909_233417/161940502/1539_61433	CM010570.1	8488870	8495041
m54284U_200909_233417/21170361/1388_67940	CM010570.1	8503276	8504236
m54284U_200909_233417/38666959/0_33037	CM010570.1	8539876	8540219
m54284U_210113_224850/169411895/0_35103	CM010570.1	8639482	8639706
m54284U_210113_224850/106956319/12155_49979	CM010570.1	8639482	8639706
m54284U_200808_195421/4261474/0_41353	CM010570.1	8725769	8728575
m54284U_210113_224850/161483125/19726_39246	CM010570.1	8734870	8735012
m54284U_200808_195421/102432849/0_28657	CM010570.1	8744627	8745749
m54284U_210113_224850/69667545/0_50191	CM010570.1	8788692	8789229
m54284U_200909_233417/14354840/4137_23570	CM010570.1	8801342	8802267
m54284U_200909_233417/57934124/19856_53064	CM010570.1	8895505	8895513
m54284U_200909_233417/45285448/0_73802	CM010570.1	8966847	8967421
m54284U_200909_233417/31525037/10773_40899	CM010570.1	8980166	8981043
m54284U_210113_224850/76220720/0_22083	CM010570.1	9058968	9059645
m54284U_210113_224850/148047747/0_19628	CM010570.1	9112866	9112889
m54284U_200909_233417/23987942/0_75566	CM010570.1	9346241	9347445
m54284U_200909_233417/78513120/9274_45477	CM010570.1	9438870	9439256
m54284U_200909_233417/165806522/0_42612	CM010570.1	9462112	9462704
m54284U_210113_224850/78578620/16776_52862	CM010570.1	9627523	9627789
m54284U_200909_233417/76481909/36771_60393	CM010570.1	9657921	9658044
m54284U_200808_195421/123209677/2506_44785	CM010570.1	9688598	9688637
m54284U_210113_224850/72420094/0_35906	CM010570.1	9699242	9700349
m54284U_200909_233417/35194673/0_60988	CM010570.1	9735263	9735438
m54284U_210113_224850/145556451/0_52601	CM010570.1	9750561	9753083
m54284U_200909_233417/58130869/3263_62919	CM010570.1	9821491	9825539
m54284U_200808_195421/164037859/0_29380	CM010570.1	9837595	9838096
m54284U_200909_233417/100665381/0_38805	CM010570.1	9863006	9863304
m54284U_200808_195421/41091922/1893_20853	CM010570.1	9915058	9915077
m54284U_210113_224850/71502439/34008_50429	CM010570.1	9956126	9957213
m54284U_210113_224850/71502439/0_33964	CM010570.1	9957213	9957493
m54284U_200909_233417/102304310/0_47127	CM010570.1	10018478	10019266
m54284U_200909_233417/47253427/0_40623	CM010570.1	10207952	10208549
m54284U_200808_195421/11012051/0_30437	CM010570.1	10215232	10216972
m54284U_210113_224850/148702562/31276_97095	CM010570.1	10223925	10224351
m54284U_200808_195421/85656214/7792_38744	CM010570.1	10282073	10282109
m54284U_210113_224850/177472597/0_31794	CM010570.1	10303331	10303529
m54284U_210113_224850/15140949/11043_47880	CM010570.1	10340401	10344416
m54284U_210113_224850/128057937/0_48790	CM010570.1	10350623	10352013
m54284U_210113_224850/107939412/0_38027	CM010570.1	10358416	10360194
m54284U_200909_233417/28312209/0_31814	CM010570.1	10375712	10376013
m54284U_210113_224850/8062047/9784_70114	CM010570.1	10416437	10416720
m54284U_210113_224850/8062047/70161_133864	CM010570.1	10418542	10418655
m54284U_200808_195421/46400231/0_67745	CM010570.1	10447970	10448090
m54284U_210113_224850/179766462/0_37603	CM010570.1	10487006	10487109
m54284U_210113_224850/92407710/15029_72809	CM010570.1	10487866	10488085
m54284U_200909_233417/88213563/0_53155	CM010570.1	10509293	10509322
m54284U_210113_224850/64357389/0_62738	CM010570.1	10536523	10536605
m54284U_210113_224850/170525079/0_40898	CM010570.1	10614044	10614322
m54284U_210113_224850/170525079/128185_172030	CM010570.1	10614230	10614677
m54284U_210113_224850/170525079/84024_128139	CM010570.1	10614322	10614677
m54284U_210113_224850/170525079/40941_83979	CM010570.1	10614322	10614677
